 # i        kappa            theta           
 428        1.37053          0.87497         
 429        5.94861          0.877432        
 430        8.82153          0.878722        
 431        5.49901          0.879315        
 432        13.2139          0.881503        
 433        11.5344          0.883726        
 434        1.45738          0.883795        
 435        10.1108          0.885575        
 436        10.3622          0.890306        
 437        6.47176          0.891145        
 438        9.08295          0.897664        
 439        1.55482          0.897715        
 440        10.8482          0.899881        
 441        6.68635          0.90423         
 442        14.6371          0.905373        
 443        7.39274          0.910776        
 444        11.0208          0.915125        
 445        8.17557          0.919537        
 446        1.54427          0.919588        
 447        12.1816          0.921431        
 448        5.06389          0.92175         
 449        13.4503          0.923972        
 450        6.31061          0.926108        
 451        9.90432          0.928287        
 452        6.52812          0.930029        
 453        6.26907          0.934228        
 454        12.3752          0.936607        
 455        11.5218          0.938001        
 456        5.09246          0.938795        
 457        4.79201          0.940079        
 458        4.92143          0.940974        
 459        5.1809           0.940983        
 460        6.67293          0.941392        
 461        7.68257          0.942341        
 462        7.76261          0.943166        
 463        8.52664          0.944311        
 464        8.91997          0.946504        
 465        5.59045          0.947406        
 466        5.9799           0.948683        
 467        4.8663           0.950853        
 468        8.40629          0.950956        
 469        6.58034          0.957475        
 470        9.44969          0.959153        
 471        5.82973          0.959645        
 472        6.59936          0.961369        
 473        10.8925          0.963994        
 474        9.30879          0.968352        
 475        1.5956           0.968403        
 476        13.4195          0.974936        
 477        1.78096          0.975005        
 478        6.63236          0.981678        
 479        7.94823          0.983547        
 480        4.5331           0.98374         
 481        5.14927          0.98424         
 482        5.67832          0.984955        
 483        6.04709          0.987168        
 484        12.8075          0.988552        
 485        5.56602          0.989532        
 486        5.8513           0.990109        
 487        7.99924          0.995216        
 488        1.46598          0.995267        
 489        9.37355          0.996372        
 490        6.12721          0.997428        
 491        6.45521          0.999598        
 492        14.1096          1.00186         
 493        4.97788          1.00394         
 494        4.87823          1.00401         
 495        6.40925          1.01082         
 496        6.21298          1.01147         
 497        6.54019          1.01272         
 498        6.63822          1.01489         
 499        6.26041          1.01706         
 500        6.27692          1.01778         
 501        11.3947          1.02142         
 502        3.67079          1.02156         
 503        1.11712          1.02159         
 504        6.12269          1.02468         
 505        9.65382          1.02567         
 506        5.91565          1.02811         
 507        13.2794          1.02899         
 508        6.15425          1.03245         
 509        5.61503          1.03379         
 510        4.88307          1.03462         
 511        11.9634          1.03496         
 512        5.59022          1.03793         
 513        5.22701          1.03852         
 514        5.41226          1.03905         
 515        8.68865          1.04074         
 516        8.43378          1.04113         
 517        6.04875          1.04221         
 518        6.85273          1.04548         
 519        7.07684          1.04843         
 520        11.1552          1.0506          
 521        10.7356          1.05741         
 522        6.70245          1.05854         
 523        6.76378          1.06128         
 524        8.85408          1.06289         
 525        1.6207           1.06294         
 526        6.98344          1.0651          
 527        7.37182          1.06778         
 528        11.4789          1.07164         
 529        7.42604          1.07382         
 530        6.66697          1.0824          
 531        5.98758          1.08345         
 532        5.98685          1.08395         
 533        5.77393          1.08606         
 534        5.05586          1.08679         
 535        12.2652          1.08717         
 536        4.32714          1.08909         
 537        4.41694          1.08914         
 538        5.75786          1.09073         
 539        13.5809          1.09127         
 540        7.41145          1.0978          
 541        7.14177          1.10502         
 542        6.81672          1.10648         
 543        5.7502           1.10844         
 544        5.77722          1.10865         
 545        9.50187          1.113           
 546        9.84168          1.11429         
 547        3.34586          1.11432         
 548        4.59643          1.11465         
 549        5.79923          1.11619         
 550        5.62817          1.11735         
 551        5.13476          1.11823         
 552        8.81035          1.11861         
 553        8.26453          1.12081         
 554        1.50071          1.12086         
 555        5.73936          1.12367         
 556        7.89223          1.12431         
 557        4.60083          1.1244          
 558        6.60681          1.12657         
 559        6.69472          1.12874         
 560        14.8497          1.12995         
 561        11.9314          1.13784         
 562        4.92496          1.1444          
 563        4.39432          1.14448         
 564        5.31342          1.14462         
 565        8.40905          1.1531          
 566        7.94798          1.16081         
 567        7.13248          1.16381         
 568        6.98775          1.16516         
 569        6.62915          1.16735         
 570        7.63945          1.16953         
 571        1.19005          1.16958         
 572        7.86681          1.16994         
 573        8.07175          1.17032         
 574        6.03491          1.17174         
 575        5.67731          1.17391         
 576        5.46038          1.17445         
 577        4.86875          1.1755          
 578        7.87436          1.17582         
 579        5.28232          1.17625         
 580        11.6704          1.17852         
 581        4.4847           1.17857         
 582        6.90818          1.18031         
 583        8.03319          1.18433         
 584        12.8918          1.19003         
 585        5.41191          1.20521         
 586        5.35931          1.2053          
 587        6.0444           1.20668         
 588        8.30294          1.20739         
 589        8.35555          1.20741         
 590        8.28921          1.21439         
 591        6.36492          1.22406         
 592        6.08027          1.22462         
 593        13.6345          1.22586         
 594        9.92228          1.22663         
 595        10.0808          1.23049         
 596        10.014           1.23137         
 597        12.9577          1.23358         
 598        1.64974          1.23365         
 599        7.54987          1.23767         
 600        7.17409          1.24243         
 601        10.0519          1.24493         
 602        13.8731          1.2459          
 603        5.43744          1.2483          
 604        5.43521          1.24849         
 605        6.68936          1.25047         
 606        6.43796          1.25264         
 607        6.50902          1.25334         
 608        14.3928          1.25791         
 609        12.1162          1.26035         
 610        4.8075           1.2606          
 611        8.81558          1.26192         
 612        5.10452          1.26267         
 613        5.46829          1.26305         
 614        6.43841          1.26481         
 615        6.78489          1.26635         
 616        7.24586          1.26941         
 617        5.20731          1.27214         
 618        8.96919          1.27219         
 619        15.3706          1.27835         
 620        9.36511          1.28165         
 621        1.71016          1.2817          
 622        7.27753          1.28362         
 623        15.9037          1.2868          
 624        7.3659           1.29837         
 625        7.23234          1.2991          
 626        15.4722          1.30286         
 627        6.57651          1.30441         
 628        10.3373          1.3057          
 629        6.71001          1.30658         
 630        11.9738          1.31022         
 631        6.26349          1.31837         
 632        10.4701          1.31865         
 633        6.21776          1.32298         
 634        8.04572          1.32364         
 635        4.50046          1.32368         
 636        13.7505          1.32788         
 637        5.41424          1.32873         
 638        5.27148          1.32929         
 639        8.99296          1.3297          
 640        8.92976          1.33189         
 641        4.20314          1.33227         
 642        3.77432          1.33239         
 643        1.19876          1.33242         
 644        16.4418          1.34216         
 645        7.50023          1.34338         
 646        8.7056           1.34832         
 647        12.2258          1.35874         
 648        6.73438          1.35962         
 649        6.86306          1.36009         
 650        7.6818           1.37064         
 651        12.013           1.37208         
 652        17.1152          1.37647         
 653        6.79668          1.37961         
 654        6.88113          1.37989         
 655        6.46196          1.38695         
 656        10.6623          1.38718         
 657        8.02837          1.38882         
 658        13.5548          1.39903         
 659        7.06427          1.40618         
 660        6.53618          1.40684         
 661        14.984           1.40777         
 662        7.40568          1.40912         
 663        12.7796          1.41513         
 664        4.40976          1.41523         
 665        9.40444          1.41562         
 666        11.3989          1.41741         
 667        7.26547          1.41858         
 668        18.352           1.44544         
 669        8.00053          1.44707         
 670        9.68525          1.44925         
 671        4.57576          1.44935         
 672        1.10941          1.44938         
 673        11.5097          1.46131         
 674        16.6208          1.46172         
 675        13.1284          1.46392         
 676        9.62646          1.47136         
 677        9.30417          1.48655         
 678        14.251           1.48802         
 679        8.7086           1.51082         
 680        13.6499          1.51143         
 681        8.51986          1.54513         
 682        13.3848          1.5465          
 683        13.0847          1.55104         
 684        7.74977          1.55554         
 685        15.6575          1.55761         
 686        11.2569          1.55885         
 687        6.69027          1.56103         
 688        11.1604          1.5617          
 689        17.0447          1.56645         
 690        7.48637          1.56735         
 691        7.23085          1.57631         
 692        7.09068          1.5768          
 693        12.5924          1.57851         
 694        10.8599          1.58303         
 695        11.0551          1.58315         
 696        15.8277          1.61006         
 697        6.49894          1.61029         
 698        5.45043          1.61459         
 699        9.71462          1.61467         
 700        10.9142          1.61722         
 701        9.05223          1.61836         
 702        1.51104          1.61841         
